マクドナルドイオンモール札幌苗穂店	(43.0792737, 141.4046478)
豊平六郵便局	(43.0499716, 141.3742559)
北海道銀行豊平支店	(43.0501716, 141.3739287)
龍松寺	(43.0514887, 141.3731589)
覚英寺	(43.053617, 141.3723515)
ライオン小児矯正歯科クリニック	(43.0534104, 141.3725974)
札幌中央信用組合豊平支店	(43.0529851, 141.3692312)
札幌方面豊平警察署 美園交番	(43.042542, 141.3863088)
北海道信用金庫美園支店	(43.0419755, 141.3870786)
ノア動物病院	(43.0438828, 141.3898386)
みよしの美園店	(43.0404386, 141.3896106)
スターバックス札幌美園店	(43.0405993, 141.3893746)
らーめんてつや美園店	(43.0408365, 141.3890179)
エネオスDr.Drive美園SS	(43.0395086, 141.3906568)
エネオスセルフ美園SS	(43.0396588, 141.3897602)
エネオスDr.Drive美園2条SS	(43.0456525, 141.383607)
出光セルフ美園SS	(43.04442, 141.3823237)
美園産婦人科小児科	(43.0411945, 141.3845511)
ファミリー薬局美園店	(43.0420325, 141.3854996)
北央信用組合美園支店	(43.0420481, 141.3861472)
上村内科医院	(43.0416342, 141.386756)
華岡青洲記念 心臓血管クリニック	(43.0414247, 141.3870922)
あい歯科クリニック	(43.0400693, 141.3901536)
浅草三井寺	(43.0428525, 141.3807075)
札幌市豊平区 美園まちづくりセンター	(43.0387896, 141.3847151)
豊龍寺	(43.0385857, 141.3875421)
歯科小児歯科Kクリニック	(43.0409858, 141.3782604)
美園フラワー歯科	(43.0388766, 141.3817966)
松坂皮膚科	(43.0377011, 141.3837408)
広田医院	(43.0373318, 141.3849947)
味の時計台美園店	(43.0369197, 141.3866647)
恵仁会佐々木内科病院	(43.0350077, 141.3890617)
中出歯科クリニック	(43.0392324, 141.3759488)
サツドラ豊平美園店	(43.0381603, 141.3796629)
ひらまつ歯科医院	(43.0374555, 141.3822848)
内科・神経内科美園医院	(43.0371357, 141.3839424)
美園郵便局	(43.0369697, 141.3842919)
美園歯科医院	(43.0336293, 141.3829658)
ハーティ動物病院	(43.0341923, 141.3878246)
卸センター歯科	(43.0700389, 141.360315)
スタジオ バー 北海湯	(43.0712969, 141.3592244)
櫻井内科循環器クリニック	(43.0712891, 141.3610011)
イヴ・デンタルクリニック	(43.0711255, 141.3553604)
佐藤歯科医院	(43.0724827, 141.3546753)
瑞玄寺	(43.0730559, 141.3587794)
光徳寺	(43.0723698, 141.3589339)
信行寺	(43.0717328, 141.3586595)
大阪王将北9条店	(43.0737991, 141.3600921)
十勝豚丼いっぴん札幌北十条店	(43.073902, 141.3603576)
札幌蕎麦 き凛	(43.0738295, 141.3603013)
札幌市東区 鉄東まちづくりセンター	(43.0731937, 141.3617792)
あらき歯科クリニック	(43.0743193, 141.3618717)
猫カフェMewkies	(43.07231, 141.3640579)
新生児童会館	(43.0724193, 141.3643214)
札幌北九条郵便局	(43.0743886, 141.364457)
北海道信用金庫光星支店	(43.07415, 141.3650177)
ポプラ歯科クリニック	(43.0744837, 141.3649373)
札幌市東消防署 苗穂出張所	(43.0734708, 141.371734)
庄内歯科医院	(43.0736912, 141.3739871)
不二石油	(43.0740713, 141.3762965)
札幌方面東警察署 苗穂交番	(43.0753311, 141.383973)
かのん歯科	(43.0737898, 141.3543585)
札幌北十二条郵便局	(43.0756795, 141.3538891)
諏訪神社	(43.0760498, 141.353924)
カトリック北11条教会	(43.0752367, 141.3565364)
天使病院	(43.0764142, 141.3574645)
おおつか歯科	(43.0754414, 141.3542995)
ひろ歯科クリニック	(43.075798, 141.3582021)
日本調剤北十一条調剤薬局	(43.0759117, 141.3581806)
日本調剤北十二条調剤薬局	(43.0771401, 141.3583282)
アイン薬局北12条店	(43.0770382, 141.3583174)
北10条デンタルオフィス	(43.0748204, 141.3584194)
清水歯科医院	(43.0763348, 141.3612223)
専門学校北海道体育大学校	(43.0764132, 141.3627458)
札幌市東保健センター	(43.0750378, 141.3640064)
札幌市東区役所	(43.0759028, 141.3636658)
北洋銀行光星支店	(43.0755404, 141.3641325)
札幌市東区民センター	(43.0763789, 141.3635638)
白樺歯科医院	(43.075567, 141.3638818)
かわい歯科クリニック	(43.0778467, 141.3637821)
七輪焼肉 安安東区役所前店	(43.0773458, 141.3638917)
とんでん北12条店	(43.0776182, 141.3646722)
ツルハドラッグ北12条店	(43.0776789, 141.3650183)
北光歯科クリニック	(43.0760234, 141.3645703)
東区役所前整形外科	(43.0769148, 141.3633767)
光星耳鼻咽喉科クリニック	(43.0769227, 141.3634411)
光星メディカルクリニック	(43.0769246, 141.3635055)
能戸眼科医院	(43.0769325, 141.3635699)
西谷皮膚科医院	(43.0769403, 141.3636316)
札幌メンタルクリニック	(43.0769501, 141.3637013)
ポプラ小児科医院	(43.0769579, 141.363771)
光星調剤センター	(43.0770206, 141.3637791)
前田歯科医院	(43.076905, 141.3632104)
さとう歯科診療所	(43.0781746, 141.3664666)
川島医院	(43.0763604, 141.3677434)
大覚寺	(43.0765034, 141.3704014)
鈴木内科循環器クリニック	(43.0782255, 141.3713751)
モスバーガー北12条東15丁目店	(43.0794715, 141.3766081)
こんの産婦人科	(43.0786193, 141.3771499)
ドラッグセイムス札幌苗穂店	(43.0789347, 141.3787673)
LSI札幌クリニック	(43.0769837, 141.3540313)
札幌方面東警察署 北十三条交番	(43.0777086, 141.3537121)
東本願寺札幌別院 北支院	(43.0776851, 141.3541976)
熊谷歯科医院	(43.0775773, 141.3529772)
ベーネ	(43.0775773, 141.3527921)
北光犬猫病院	(43.0789605, 141.3548172)
ほっともっと北13条東店	(43.0776286, 141.3598181)
タイムズ光星	(43.0790715, 141.3637506)
北陸銀行苗穂支店	(43.0782144, 141.3637314)
イオン銀行マックスバリュ光星店出張所	(43.0784926, 141.3640291)
みよしの環状光星店	(43.080343, 141.3653917)
光星歯科医院	(43.0794849, 141.3638521)
札幌北14条クリニック	(43.0799316, 141.364241)
北愛動物病院	(43.0790026, 141.3722686)
クレスト歯科クリニック	(43.0791245, 141.3708763)
イオン銀行まいばすけっと北14条東15丁目店出張所	(43.0811748, 141.3751034)
本龍寺	(43.0817308, 141.3762092)
山本歯科医院	(43.0799422, 141.3754153)
札幌北十三条東郵便局	(43.0797777, 141.3756486)
北央信用組合元町支店	(43.0796229, 141.3778427)
エネオスDr.Drive環状通SS	(43.0821364, 141.378591)
北海道消化器科病院	(43.0803631, 141.3786246)
さわで歯科医院	(43.0796238, 141.378253)
ピザハット苗穂本町店	(43.0795954, 141.3784229)
茶廊法邑	(43.0802054, 141.3811729)
スターバックス札幌環状通東店	(43.0825733, 141.3820046)
札幌方面東警察署	(43.0809167, 141.3528523)
協和歯科クリニック	(43.0804187, 141.3521097)
野沢医院	(43.0818279, 141.3510804)
興隆寺	(43.0807274, 141.3559257)
吉田学園動物看護専門学校	(43.0818949, 141.3591229)
大友恵愛園	(43.0829195, 141.3592544)
札幌市あかしあ学園	(43.0829802, 141.3588118)
久保田歯科医院	(43.0811309, 141.3615477)
吉田学園情報ビジネス専門学校	(43.0803786, 141.3618668)
あらい歯科・小児歯科医院	(43.0806118, 141.3636022)
中の道動物病院	(43.0822456, 141.3621672)
イースト歯科	(43.0810394, 141.366934)
札幌大谷学園百周年記念館	(43.0815595, 141.3657894)
出光光星SS	(43.0829249, 141.363582)
札幌美香保郵便局	(43.08316, 141.3634613)
札幌中央信用組合美香保支店	(43.0834166, 141.3633191)
エネオスDr.Drive北15条SS	(43.0812304, 141.3678038)
いしかわ歯科クリニック	(43.0845787, 141.3696496)
クリオネ調剤薬局北17条薬局	(43.0847185, 141.3707587)
アイディール歯科クリニック	(43.0816164, 141.3707097)
ケンタッキーフライドチキン札幌環状通東店	(43.0817955, 141.3724399)
札幌村神社	(43.0830745, 141.3722017)
札幌道都病院	(43.0846861, 141.3715246)
札幌東豊病院	(43.0847987, 141.3726898)
北洋銀行北十五条支店	(43.0827403, 141.374023)
北海道銀行北十五条支店	(43.0821144, 141.374845)
山本内科・眼科クリニック	(43.0821263, 141.3742799)
鈴木歯科医院	(43.0833201, 141.373981)
北愛医院	(43.084004, 141.37449)
札幌でむら小児クリニック	(43.08405, 141.374392)
西沢内科胃腸科クリニック	(43.0840585, 141.3744784)
さっぽろ脊椎外科クリニック	(43.0839937, 141.374406)
北愛歯科クリニック	(43.0840637, 141.3745577)
イオン銀行マックスバリュ元町店出張所	(43.0849931, 141.3741374)
元町南児童会館	(43.0840722, 141.3750551)
環状通東歯科	(43.0830728, 141.375814)
吉野家環状通東店	(43.0822645, 141.37587)
コスモ北15条東SS	(43.0824459, 141.377331)
環状通東整形外科	(43.0830845, 141.3789215)
誠心眼科病院	(43.0833509, 141.3790154)
アルファ調剤薬局環状通東店	(43.0832079, 141.3791307)
伊藤歯科医院	(43.0834848, 141.3514303)
北央信用組合北支店	(43.0838738, 141.3512514)
札幌市東区 北光まちづくりセンター	(43.0834209, 141.3583788)
北光児童会館	(43.0834581, 141.3586634)
H・N・メディックさっぽろ東	(43.0850657, 141.3616566)
松尾ジンギスカン北19条東	(43.085805, 141.3627892)
谷村医院サンクリニック	(43.0864771, 141.3625981)
藤田医院	(43.0877617, 141.3686749)
ツルハドラッグ北18条東店	(43.0854328, 141.3727414)
サツドラ北19条店	(43.0865804, 141.3729821)
出光北19条SS	(43.0878987, 141.37352)
空知信用金庫札幌東支店	(43.0876169, 141.3735519)
エネオスDr.Dirve元町SS	(43.0856008, 141.3740828)
佐藤歯科医院	(43.0856965, 141.3756117)
札幌北二十条東郵便局	(43.0889504, 141.3763418)
はやし歯科クリニック	(43.0844313, 141.3800484)
Youth+アカシア	(43.0890453, 141.3490119)
ほっともっと北光店	(43.0909193, 141.3501514)
ラーメンさんぱち 綜本店綜本店	(43.0886429, 141.3615065)
アイ歯科	(43.0913985, 141.3613547)
たいら耳鼻咽喉科クリニック	(43.0912569, 141.3614177)
石川内科医院	(43.0914121, 141.3633091)
松川歯科医院	(43.0905288, 141.3610978)
びっくりドンキー美香保店	(43.0904043, 141.3616816)
のぞみ歯科クリニック	(43.0874713, 141.3623517)
明園内科小児科医院	(43.0932182, 141.3672415)
荘司歯科診療所	(43.09039, 141.369503)
札幌ハイジ保育園元町保育ルーム	(43.091047, 141.3715057)
つぼ八元町店	(43.0935084, 141.371481)
室蘭信用金庫札幌北支店	(43.0938031, 141.3714626)
北洋銀行元町支店	(43.0936974, 141.3708987)
味の時計台駅前通り総本店	(43.0624959, 141.3518581)
札幌羊ヶ丘通郵便局	(43.0010181, 141.4332067)
スープカレーGARAKU	(43.0568473, 141.3549549)
北海道 かに将軍札幌本店	(43.0561862, 141.355171)
えびそば一幻	(43.051275, 141.3454686)
留萌信用金庫札幌支店	(43.089274, 141.373162)
ドゥケア歯科矯正歯科クリニック	(43.0910951, 141.3743332)
元町整形外科	(43.0906451, 141.3728636)
もとまちデンタルオフィス	(43.0907824, 141.372842)
エル歯科クリニック	(43.0922966, 141.3716034)
ツルハドラッグ元町駅前店	(43.0933505, 141.3721268)
元町内科クリニック	(43.0933565, 141.372261)
元町皮ふ科	(43.0934723, 141.3721187)
こかい耳鼻咽喉科	(43.0934901, 141.3722813)
ホンマ歯科	(43.0938879, 141.3721349)
北海道信用金庫元町支店	(43.0940269, 141.3732129)
札幌市中央区 苗穂まちづくりセンター	(43.0656819, 141.3716815)
苗穂はるにれ児童会館	(43.0657465, 141.3715178)
札幌市中央区 東北・東まちづくりセンター	(43.0624279, 141.3663155)
坂本歯科医院	(43.0895191, 141.3767817)
元町児童会館	(43.0915238, 141.3780018)
谷口内科	(43.0913528, 141.3784763)
おがさわら歯科医院	(43.0918253, 141.378387)
海天丸北23条店	(43.094307, 141.3756664)
さっぽろ元町動物病院	(43.0944307, 141.3778539)
田中歯科・矯正歯科クリニック	(43.0944397, 141.3800045)
霧の下	(43.0937018, 141.3828021)
アジャンタ総本家	(43.0942642, 141.3823215)
ケンタッキーフライドチキン札幌元町店	(43.094253, 141.382685)
北海道銀行元町支店	(43.0942012, 141.3829993)
札幌市東区 元町まちづくりセンター	(43.0881141, 141.3824869)
元町泌尿器科	(43.0893775, 141.3819478)
コスモ脳神経外科	(43.0898476, 141.3820819)
おおの歯科クリニック	(43.0909896, 141.3818914)
さっぽろ神経内科病院	(43.0907486, 141.3832835)
さっぽろ神経内科クリニック	(43.0905332, 141.3843161)
かいせい内科医院	(43.0932851, 141.3849733)
戸田歯科医院	(43.0935887, 141.3832915)
牛角札幌元町店	(43.0938806, 141.3848553)
イリスもとまち	(43.0897771, 141.3863627)
エネオスDr.Drive伏古SS	(43.0930472, 141.3881879)
北24条よこやま歯科	(43.0916133, 141.3521387)
アポロステーション札幌北SS	(43.0933145, 141.349545)
平澤内科呼吸器科クリニック	(43.0931346, 141.3539805)
法照寺	(43.0925864, 141.3564966)
平川歯科医院	(43.0942337, 141.3567755)
出光AIX' ’新光北22条SS	(43.0944707, 141.3579316)
星井歯科医院	(43.0934328, 141.3603632)
札幌市東区 北栄まちづくりセンター	(43.0938206, 141.3600118)
ロイヤルホスト美香保店	(43.0947353, 141.3605885)
札幌北二十四条郵便局	(43.0936737, 141.360964)
ほっともっと美香保店	(43.0948704, 141.361546)
北陸銀行ほくぎんローンプラザ元町	(43.0941751, 141.3707111)
札幌佐藤メンタルクリニック	(43.0940791, 141.3705207)
串鳥元町駅前店	(43.0940654, 141.3703303)
元町眼科クリニック	(43.0947196, 141.3709659)
八田内科	(43.0954423, 141.3710786)
ふるかわ小児科アレルギー科クリニック	(43.0948089, 141.3718612)
なかきた歯科クリニック	(43.0952275, 141.3717799)
サンライズ元町歯科クリニック	(43.0955362, 141.3717636)
札幌東郵便局	(43.0962516, 141.3715685)
元町駅前歯科	(43.0952571, 141.3723572)
札幌市東消防署	(43.0945506, 141.3742029)
中村医院	(43.0945981, 141.3750241)
ガスト札幌元町店	(43.0947469, 141.3764351)
慈照ハイツ	(43.0954091, 141.377883)
札幌方面東警察署 元町交番	(43.09479, 141.3776655)
ツルハドラッグ元町店	(43.0948696, 141.3819981)
札幌北二十五条郵便局	(43.0972569, 141.3829661)
元町ひまわり消化器内科・腎透析クリニック	(43.0963604, 141.3836369)
柳澤歯科医院	(43.0944347, 141.3836935)
牧田皮膚科医院	(43.0945609, 141.3836935)
元町こどもクリニック	(43.0943597, 141.3842586)
みよか内科クリニック	(43.0943494, 141.384394)
かしわむら耳鼻咽喉科クリニック	(43.0943324, 141.3845201)
運河亭	(43.094994, 141.383927)
祐川整形外科医院	(43.0937629, 141.3873921)
カトリック北26条教会	(43.0938421, 141.3483382)
愛心メモリアル病院	(43.0944003, 141.3475313)
アルブル動物病院	(43.0943623, 141.3470576)
さっぽろ純連北31条店	(43.0988558, 141.3459731)
ささ歯科北３３条クリニック	(43.1009785, 141.3454033)
丸紅エネルギーセルフランド北インター	(43.1012138, 141.3476706)
札幌北三十三条郵便局	(43.1007654, 141.3489081)
藤森歯科医院	(43.10002, 141.3479198)
北栄整形外科	(43.0998597, 141.3479767)
庭瀬歯科医院	(43.0986131, 141.3493787)
にしはら内科クリニック	(43.0975716, 141.3485045)
りんご調剤薬局北栄店	(43.0976462, 141.3486689)
北栄歯科クリニック	(43.0967551, 141.349841)
札幌北二十六条郵便局	(43.0937212, 141.3500582)
宮島学園北海道調理師専門学校	(43.0942599, 141.352668)
北栄児童会館	(43.0981606, 141.3566172)
ひがし在宅クリニック	(43.0951973, 141.3570812)
岩田皮膚科	(43.0947017, 141.3574621)
札幌方面東警察署 北二十六条交番	(43.0946391, 141.357151)
苫小牧信用金庫札幌北支店	(43.0995687, 141.3588206)
エネオスEneJet北33条店	(43.1026826, 141.3579059)
オニヤンマ コーヒー＆ビア	(43.058808, 141.3478516)
北海道銀行桑園支店	(43.070101, 141.330661)
石垣整形外科医院	(43.0951779, 141.3604233)
北光記念病院	(43.0966615, 141.3608809)
北光記念クリニック	(43.0971022, 141.3603633)
アイン薬局北光店	(43.097159, 141.3599851)
おおしま歯科	(43.0974822, 141.3603847)
北栄マスカット保育園	(43.0995675, 141.3619574)
札幌北三十一条郵便局	(43.0998125, 141.3592307)
まえたに動物病院 東豊病院	(43.1017936, 141.3634453)
まつい犬猫病院	(43.0956001, 141.363946)
サカキ歯科医院	(43.0959536, 141.3645661)
北海道対がん協会札幌がん検診センター	(43.0968035, 141.3682899)
イオン銀行マックスバリュ北26条店出張所	(43.0971005, 141.3701269)
札幌ベルエポック製菓調理専門学校	(43.0963128, 141.3683441)
札幌市こどもの劇場 やまびこ座	(43.0977891, 141.3696231)
渡部歯科クリニック	(43.0986782, 141.3702949)
石田内科小児科医院	(43.1001898, 141.3665742)
北栄みどり保育園	(43.1017557, 141.3659702)
イオン銀行イオン札幌元町ショッピングセンター店出張所	(43.1009916, 141.3682633)
マクドナルドイオン札幌元町店	(43.1011284, 141.3687736)
札幌東徳洲会病院	(43.1035612, 141.3659298)
タイムズ新道	(43.1050485, 141.3706303)
アガサ歯科クリニック	(43.1034837, 141.369169)
札幌市元町図書館	(43.1007171, 141.3715855)
札幌東和病院	(43.1010405, 141.3768289)
あべ耳鼻咽喉科アレルギー科クリニック	(43.1009885, 141.3702726)
札幌かとう眼科	(43.1010001, 141.370502)
新道東皮膚科クリニック	(43.101257, 141.3702133)
湯山動物病院	(43.1009683, 141.3707986)
新道東まつざわ歯科	(43.1015196, 141.3701112)
赤塚歯科医院	(43.1039738, 141.3703213)
いただきコッコちゃん新道東店	(43.104208, 141.3703366)
暖龍新道店	(43.10401, 141.374859)
元町保育園	(43.0982304, 141.3799602)
平井歯科	(43.0978434, 141.3842847)
ツルハドラッグ新道元町店	(43.0986426, 141.3833024)
啓生会病院	(43.0996282, 141.3816432)
みどり薬局元町店	(43.0992385, 141.3814846)
元町歯科診療所	(43.1005234, 141.3775397)
八木歯科医院	(43.1004641, 141.3780232)
むぎの里札幌新道東店	(43.1035251, 141.3768938)
新道東フレンド整形外科	(43.1034065, 141.3771839)
大戸屋札幌南2条西2丁目店	(43.0583593, 141.355394)
元町みどり保育園	(43.0990511, 141.386707)
ガヤ元町店	(43.0994816, 141.3854634)
エネオスDDセルフ創成北36条SS	(43.1041825, 141.3450887)
耳鼻咽喉科麻生病院	(43.1079816, 141.344555)
ナカジマ薬局麻生店	(43.1072199, 141.3446879)
サツドラ麻生北40条店	(43.1080944, 141.345177)
ナカジマ薬局北41条店	(43.1092223, 141.3451648)
北海道泌尿器科記念病院	(43.1095458, 141.3448599)
札幌栄町西郵便局	(43.1096903, 141.3454783)
札幌麻生郵便局	(43.1087613, 141.3386822)
札幌市東消防署 北栄出張所	(43.1067071, 141.3463739)
出光北都SS	(43.1058527, 141.3464944)
エネオスDr.Drive 栄町セルフ	(43.1100405, 141.3478303)
司馬内科クリニック	(43.1100533, 141.3482326)
伊藤皮膚科医院	(43.110115, 141.348218)
みうら歯科クリニック	(43.1100719, 141.3489006)
多田歯科医院	(43.1103972, 141.3508533)
ツルハドラッグ北35条店	(43.1034879, 141.3506538)
河村歯科クリニック	(43.1035982, 141.3506327)
札幌北三十五条郵便局	(43.1050518, 141.3574324)
北栄保育園	(43.1043986, 141.3530293)
石川内科クリニック	(43.1076424, 141.3567894)
おぎた眼科医院	(43.1077347, 141.3567703)
星野獣医科病院	(43.108382, 141.3519756)
竹中歯科医院	(43.1110634, 141.3547524)
みきファミリークリニック	(43.1111454, 141.355709)
奥泉整形外科	(43.1113322, 141.35696)
サンドラッグ北四十一条店	(43.1114901, 141.3587445)
札幌北四十一条郵便局	(43.1109697, 141.3576286)
北央信用組合栄町支店	(43.1118608, 141.35696)
フジ歯科クリニック	(43.1104735, 141.3565241)
出光セルフ北39条SS	(43.1082608, 141.3571142)
中田歯科北38条クリニック	(43.1078359, 141.3572536)
ひのまる児童会館	(43.1079259, 141.3595067)
ゆで太郎札幌栄町食堂	(43.1068665, 141.3575004)
自遊空間札幌北光店	(43.1063065, 141.3576694)
札幌市栄地区センター	(43.1060323, 141.3581388)
魚べい北35条店	(43.1044505, 141.3581246)
みさき歯科クリニック	(43.1042918, 141.3580873)
新道東どうぶつ病院	(43.1037333, 141.360662)
丸亀製麺札幌栄町店	(43.1121435, 141.3626897)
北海道信用金庫新道東支店	(43.1055784, 141.3686002)
札幌いそべ頭痛・もの忘れクリニック	(43.1062428, 141.3682839)
新道東おおた内科	(43.1073236, 141.3682021)
栄町マスカット保育園	(43.1074979, 141.3665992)
トリトン栄町店	(43.109075, 141.3676298)
ごまそば遊鶴北38条店	(43.109185, 141.3672167)
琴似二条郵便局	(43.0759864, 141.3023202)
いただきコッコちゃん北8条店北8条店	(43.071182, 141.3492483)
トヨタレンタカー丘珠空港栄町店	(43.1085211, 141.3678941)
エネオスDr.Driveチャレンジ北39条SS	(43.1101731, 141.367303)
札幌市東区 栄東まちづくりセンター	(43.1114072, 141.3650802)
札幌市東老人福祉センター	(43.1115146, 141.3640505)
札幌方面東警察署 栄東交番	(43.1125241, 141.3649813)
栄町ファミリークリニック	(43.1125905, 141.3653129)
友田歯科	(43.1126354, 141.3658666)
東豊歯科医院	(43.1116357, 141.3671238)
北洋銀行栄町支店	(43.1126237, 141.3661395)
東栄病院	(43.1127377, 141.3676843)
三井のリパークイオン札幌栄町店駐車場	(43.113517, 141.368092)
札幌市豊平消防署 西岡出張所	(43.0119361, 141.3880887)
札幌福住郵便局	(43.011487, 141.3949895)
北海道銀行栄町支店	(43.1122612, 141.3676217)
ほっともっと栄町店	(43.1129107, 141.3689382)
イオン銀行ザ・ビッグエクスプレス栄町店出張所	(43.1127543, 141.3694872)
札幌北三十八条郵便局	(43.1087312, 141.3684255)
エニーデンタルクリニック	(43.1072685, 141.3687827)
幼保連携型認定こども園さっぽろ夢	(43.1069566, 141.3717264)
アルファどうぶつ病院	(43.1054829, 141.3704791)
イオン銀行マックスバリュエクスプレス新道店出張所	(43.1051693, 141.3698184)
エーワンクリニック	(43.1051712, 141.3714213)
羅妃焚新道店	(43.1050866, 141.3722009)
たけいし歯科クリニック	(43.105235, 141.3705234)
エネオスDr.Driveバイパス東店	(43.1046057, 141.3757336)
新道東在宅診療クリニック	(43.105235, 141.3731298)
つどーむ前佐々木歯科	(43.1136269, 141.3733706)
光英幼稚学園	(43.109777, 141.3751327)
くぼやま歯科医院	(43.1084297, 141.3754234)
焼肉徳寿新道店	(43.1048912, 141.3766336)
ラーメン山岡家新道店	(43.1040394, 141.378057)
ライフドリーム新道東	(43.1038548, 141.3787726)
丘珠たから児童会館	(43.1039863, 141.3827274)
さくら犬猫病院	(43.1078029, 141.3829661)
介護老人保健施設おおぞら	(43.1076404, 141.3847659)
丘珠郵便局	(43.1068704, 141.3875614)
第一歯科クリニック	(43.106025, 141.3841914)
札幌方面東警察署 丘珠交番	(43.1026214, 141.3878482)
高恩寺	(43.1061526, 141.3902118)
丘珠神社	(43.1073629, 141.390007)
札幌市東区 丘珠まちづくりセンター	(43.1075922, 141.3902965)
出光セルフ丘珠西SS	(43.1044016, 141.3934906)
北海道銀行篠路支店	(43.1442007, 141.3587964)
牛吉	(43.0205568, 141.3839755)
つぼ八南平岸店	(43.0269574, 141.3676572)
とんでん麻生店	(43.1098245, 141.3355149)
北陸銀行麻生支店	(43.1073851, 141.3390057)
マクドナルドイオン札幌麻生店	(43.1070677, 141.339185)
サイゼリヤイオン札幌麻生店	(43.107028, 141.3389214)
北洋銀行新川支店	(43.0984998, 141.326344)
札幌新川駅前内科	(43.0988473, 141.3253575)
坂泌尿器科新川クリニック	(43.0995397, 141.3267249)
エネオスDr.Drive新川東SS	(43.1001371, 141.3270897)
中山歯科医院	(43.1030607, 141.388014)
ささき歯科	(43.0997296, 141.3938037)
勤医協札幌看護専門学校	(43.0980353, 141.3937236)
回転寿し 和楽本店	(43.110543, 141.3447434)
東麻生どうぶつ病院	(43.1102335, 141.3465509)
栄北小児科	(43.1144863, 141.3452648)
北栄寺	(43.1147325, 141.3450876)
札幌方面東警察署 栄西交番	(43.1107843, 141.35074)
札幌市東区 栄西まちづくりセンター	(43.1116269, 141.3505783)
ぼくぜん伏古店	(43.0827718, 141.3850612)
ワンズレンタカー札幌平岸2条店	(43.035595, 141.365573)
らーめん橙ヤ札幌伏古店	(43.0843068, 141.3904548)
ほっともっと北42条店	(43.110999, 141.3515004)
北海道銀行北栄支店	(43.1115011, 141.3553516)
よしだ内科クリニック	(43.1161179, 141.3546622)
禎心会東センター	(43.1162494, 141.3567629)
烈々布神社	(43.1125762, 141.3591876)
江口歯科医院	(43.1123765, 141.3561353)
ここねデンタルクリニック	(43.1147105, 141.3599735)
瑞芳寺	(43.1159831, 141.3593101)
かがやき栄町	(43.1133739, 141.3623625)
あおい栄町館	(43.1169251, 141.3626115)
エネオスDr.Driveオブリステーション札幌栄町	(43.1128089, 141.3639105)
みよしの栄町店	(43.1128146, 141.3647207)
ヴィクトリアステーション栄町店	(43.1128579, 141.3650122)
旭川信用金庫栄町支店	(43.1138881, 141.3665577)
山本歯科クリニック	(43.1156793, 141.3661939)
札幌北四十三条郵便局	(43.1163799, 141.366648)
栄町あおぞら保育園	(43.1162255, 141.3666609)
あんざい整形外科クリニック	(43.1132007, 141.3674839)
くく耳鼻咽喉科クリニック	(43.1132107, 141.3675723)
ちいろば子供クリニック	(43.113276, 141.3674702)
栄町レディースクリニック	(43.1132651, 141.3673319)
ひろせ皮フ科クリニック	(43.1133209, 141.3673213)
栄町内科循環器内科クリニック	(43.11329, 141.3675617)
栄町ウェル歯科クリニック	(43.1133925, 141.3673127)
みよしの狸小路店	(43.0574821, 141.3550289)
札幌共立医院	(43.117605, 141.3444792)
コレクト歯科医院	(43.1187063, 141.3467868)
小松歯科医院	(43.1158771, 141.350494)
札幌栄町郵便局	(43.1159904, 141.351251)
栄西児童会館	(43.1169413, 141.3509862)
栄保育園	(43.1184642, 141.3527302)
出光よんななSS	(43.1182025, 141.3540221)
こやま歯科診療室	(43.1197261, 141.3557969)
味の時計台北栄店	(43.1196747, 141.3550144)
石丸眼科	(43.1197957, 141.3562742)
宮岸内科皮膚科泌尿器科医院	(43.1190382, 141.3545437)
スミエ歯科医院	(43.1164875, 141.3555526)
札幌市東消防署 栄出張所	(43.1174667, 141.362628)
認定こども園 しらゆき夢	(43.1181832, 141.3630193)
萬行寺	(43.1221491, 141.3454467)
東禅寺	(43.1222952, 141.3513784)
北海道信用金庫栄町支店	(43.1211637, 141.35383)
コア歯科クリニック	(43.1212694, 141.3538219)
はま寿司札幌栄町店	(43.1215513, 141.3537763)
CoCo壱番屋東区栄町店	(43.1218469, 141.3536369)
足立外科クリニック	(43.1222152, 141.3538066)
手打ち蕎麦 こはし	(43.0691307, 141.3211462)
麺や虎鉄北50条店	(43.122291, 141.3543578)
ツルハドラッグ北50条店	(43.1227845, 141.3545569)
ツルハドラッグ栄町店	(43.1217121, 141.3645877)
三上ペットクリニック	(43.1208289, 141.3696107)
ブリストルデンタルクリニック	(43.1210911, 141.3628183)
札幌北五十条郵便局	(43.122633, 141.3579468)
出光百合が原SS	(43.125093, 141.3625991)
百合が原動物病院	(43.1261575, 141.3622562)
あいすの城	(43.1257922, 141.3627194)
風の子保育園	(43.1288295, 141.3621889)
札幌百合の会病院	(43.1317654, 141.3674998)
クローバー薬局	(43.1318506, 141.3656931)
ゆりがはら内科ケア＆クリニック	(43.1336616, 141.3647897)
百合が原幼稚園	(43.1332296, 141.3677508)
エネオスDr.Drive百合が原SS	(43.1344534, 141.3678597)
大導寺	(43.0713056, 141.3817786)
北海道こども心療内科氏家医院	(43.0728339, 141.3837473)
札幌市東区 苗穂東まちづくりセンター	(43.073261, 141.3840469)
札幌苗穂郵便局	(43.0750785, 141.3846436)
苗穂児童会館	(43.0751676, 141.3886392)
だるま本店	(43.0538428, 141.3524587)
みなみ歯科医院	(43.0754096, 141.3844793)
チエ歯科クリニック	(43.0739428, 141.3935916)
